,Unnamed: 0,text,star,original,cluster,action_cluster
15,15,"['bad', 'product']",1,Very bad product,2,1
20,20,"['bad', 'product']",1,Very worst product,2,1
22,22,"['bad', 'experience']",1,Worst experience,2,1
23,23,"['cool', 'bad']",1,Cooling is very bad,2,4
24,24,"['bad', 'cooling', 'problem']",1,Very bad Cooling problem,2,2
32,32,"['bad', 'product', 'technician', 'good', 'installation', 'cool', 'low', 'bad', 'recommend', 'everyone']",1,Very bad product and technician not good the installation cooling very low very bad not recommended by everyone,2,4
38,38,"['day', 'installation', 'cool', 'bad', 'product']",1,20 days installation not cooling bad product not,2,4
51,51,"['poor', 'low', 'quality', 'product', 'waste', 'money', 'buy', 'product', 'bad', 'experience', 'also', 'good', 'customer', 'service']",1,Very poor and low quality products and waste of money don't buy this product very bad experience also not good customer service,2,1
59,59,"['bad', 'quality', 'ac', 'take', 'much', 'time', 'cool', 'less', 'cool', 'bad', 'quality', 'ac', 'never', 'buy', 'product', 'lg', 'specially', 'ac']",1,"Very bad quality AC took so much time for cooling and very less cooling
Worst quality ac never buy any product from LG specially AC",2,3
71,71,"['bad', 'experience', 'product']",1,Very bad experience in this product..,2,1
72,72,"['cool', 'bad', 'ac']",1,Not cooling worst ac,2,3
77,77,"['bad', 'experience', 'ever']",1,Worst Experience ever.,2,2
85,85,"['bad', 'product']",1,Very bad product,2,1
89,89,"['bad', 'experience']",1,Very bad experience,2,1
91,91,"['bad', 'product']",1,Worst product,2,1
104,104,['bad'],1,Very bad,2,2
119,119,"['bad', 'product']",1,Very bad product,2,1
194,194,"['product', 'good', 'installation', 'people', 'bad']",5,Product is good but installation people r worst,2,4
215,215,"['bad', 'product']",1,Very bad product,2,1
220,220,"['bad', 'product']",1,Very worst product,2,1
222,222,"['bad', 'experience']",1,Worst experience,2,1
223,223,"['cool', 'bad']",1,Cooling is very bad,2,4
224,224,"['bad', 'cooling', 'problem']",1,Very bad Cooling problem,2,2
232,232,"['bad', 'product', 'technician', 'good', 'installation', 'cool', 'low', 'bad', 'recommend', 'everyone']",1,Very bad product and technician not good the installation cooling very low very bad not recommended by everyone,2,4
238,238,"['day', 'installation', 'cool', 'bad', 'product']",1,20 days installation not cooling bad product not,2,4
251,251,"['poor', 'low', 'quality', 'product', 'waste', 'money', 'buy', 'product', 'bad', 'experience', 'also', 'good', 'customer', 'service']",1,Very poor and low quality products and waste of money don't buy this product very bad experience also not good customer service,2,1
259,259,"['bad', 'quality', 'ac', 'take', 'much', 'time', 'cool', 'less', 'cool', 'bad', 'quality', 'ac', 'never', 'buy', 'product', 'lg', 'specially', 'ac']",1,"Very bad quality AC took so much time for cooling and very less cooling
Worst quality ac never buy any product from LG specially AC",2,3
271,271,"['bad', 'experience', 'product']",1,Very bad experience in this product..,2,1
272,272,"['cool', 'bad', 'ac']",1,Not cooling worst ac,2,3
277,277,"['bad', 'experience', 'ever']",1,Worst Experience ever.,2,2
285,285,"['bad', 'product']",1,Very bad product,2,1
289,289,"['bad', 'experience']",1,Very bad experience,2,1
291,291,"['bad', 'product']",1,Worst product,2,1
315,315,"['bad', 'product']",1,Very bad product,2,1
320,320,"['bad', 'product']",1,Very worst product,2,1
322,322,"['bad', 'experience']",1,Worst experience,2,1
323,323,"['cool', 'bad']",1,Cooling is very bad,2,4
324,324,"['bad', 'cooling', 'problem']",1,Very bad Cooling problem,2,2
332,332,"['bad', 'product', 'technician', 'good', 'installation', 'cool', 'low', 'bad', 'recommend', 'everyone']",1,Very bad product and technician not good the installation cooling very low very bad not recommended by everyone,2,4
338,338,"['day', 'installation', 'cool', 'bad', 'product']",1,20 days installation not cooling bad product not,2,4
351,351,"['poor', 'low', 'quality', 'product', 'waste', 'money', 'buy', 'product', 'bad', 'experience', 'also', 'good', 'customer', 'service']",1,Very poor and low quality products and waste of money don't buy this product very bad experience also not good customer service,2,1
359,359,"['bad', 'quality', 'ac', 'take', 'much', 'time', 'cool', 'less', 'cool', 'bad', 'quality', 'ac', 'never', 'buy', 'product', 'lg', 'specially', 'ac']",1,"Very bad quality AC took so much time for cooling and very less cooling
Worst quality ac never buy any product from LG specially AC",2,3
371,371,"['bad', 'experience', 'product']",1,Very bad experience in this product..,2,1
372,372,"['cool', 'bad', 'ac']",1,Not cooling worst ac,2,3
377,377,"['bad', 'experience', 'ever']",1,Worst Experience ever.,2,2
385,385,"['bad', 'product']",1,Very bad product,2,1
389,389,"['bad', 'experience']",1,Very bad experience,2,1
391,391,"['bad', 'product']",1,Worst product,2,1
414,414,"['bad', 'product', 'cooling']",2,Bad product no cooling,2,2
430,430,"['ok', 'product', 'neither', 'good', 'bad']",3,"Just Ok product, neither Good nor bad.",2,4
442,442,"['product', 'good', 'delivery', 'bad']",4,Product is very good and Delivery very bad,2,1
515,515,"['bad', 'product']",1,Very bad product,2,1
520,520,"['bad', 'product']",1,Very worst product,2,1
522,522,"['bad', 'experience']",1,Worst experience,2,1
523,523,"['cool', 'bad']",1,Cooling is very bad,2,4
524,524,"['bad', 'cooling', 'problem']",1,Very bad Cooling problem,2,2
532,532,"['bad', 'product', 'technician', 'good', 'installation', 'cool', 'low', 'bad', 'recommend', 'everyone']",1,Very bad product and technician not good the installation cooling very low very bad not recommended by everyone,2,4
538,538,"['day', 'installation', 'cool', 'bad', 'product']",1,20 days installation not cooling bad product not,2,4
551,551,"['poor', 'low', 'quality', 'product', 'waste', 'money', 'buy', 'product', 'bad', 'experience', 'also', 'good', 'customer', 'service']",1,Very poor and low quality products and waste of money don't buy this product very bad experience also not good customer service,2,1
559,559,"['bad', 'quality', 'ac', 'take', 'much', 'time', 'cool', 'less', 'cool', 'bad', 'quality', 'ac', 'never', 'buy', 'product', 'lg', 'specially', 'ac']",1,"Very bad quality AC took so much time for cooling and very less cooling
Worst quality ac never buy any product from LG specially AC",2,3
571,571,"['bad', 'experience', 'product']",1,Very bad experience in this product..,2,1
572,572,"['cool', 'bad', 'ac']",1,Not cooling worst ac,2,3
577,577,"['bad', 'experience', 'ever']",1,Worst Experience ever.,2,2
585,585,"['bad', 'product']",1,Very bad product,2,1
589,589,"['bad', 'experience']",1,Very bad experience,2,1
591,591,"['bad', 'product']",1,Worst product,2,1
615,615,"['bad', 'product']",1,Very bad product,2,1
620,620,"['bad', 'product']",1,Very worst product,2,1
622,622,"['bad', 'experience']",1,Worst experience,2,1
623,623,"['cool', 'bad']",1,Cooling is very bad,2,4
624,624,"['bad', 'cooling', 'problem']",1,Very bad Cooling problem,2,2
632,632,"['bad', 'product', 'technician', 'good', 'installation', 'cool', 'low', 'bad', 'recommend', 'everyone']",1,Very bad product and technician not good the installation cooling very low very bad not recommended by everyone,2,4
638,638,"['day', 'installation', 'cool', 'bad', 'product']",1,20 days installation not cooling bad product not,2,4
