,Unnamed: 0,text,star,original,cluster,action_cluster
25,25,"['good', 'product']",1,Not good products,3,1
83,83,['good'],1,Not good,3,2
105,105,"['good', 'product']",1,Not good product,3,1
139,139,['good'],3,👍👍👍 good,3,2
140,140,['good'],3,Good,3,2
142,142,['good'],3,Good,3,2
148,148,"['good', 'product']",4,Over all a good product,3,1
150,150,"['good', 'product']",4,Very good product,3,1
162,162,"['good', 'performance']",4,good performance,3,3
170,170,['good'],4,Good,3,2
179,179,['good'],4,Good,3,2
188,188,"['cool', 'good']",4,Cooling it's good,3,1
190,190,"['good', 'product']",4,Good product,3,1
225,225,"['good', 'product']",1,Not good products,3,1
283,283,['good'],1,Not good,3,2
325,325,"['good', 'product']",1,Not good products,3,1
383,383,['good'],1,Not good,3,2
428,428,['good'],3,Good,3,2
439,439,"['good', 'ac']",4,Good AC,3,2
440,440,['good'],4,Good,3,2
445,445,"['good', 'product']",4,Good Product,3,1
446,446,['good'],4,Good,3,2
447,447,['good'],4,Good,3,2
453,453,"['good', 'purchase']",4,Good to purchase,3,3
455,455,['good'],4,Very good,3,2
456,456,"['good', 'product']",4,Good product,3,1
477,477,['good'],5,Good,3,2
482,482,['good'],5,Good,3,2
484,484,"['good', 'product']",5,Good Product,3,1
488,488,"['good', 'ac', 'go']",5,"Good ac, go for it",3,2
493,493,['good'],5,Good 👍,3,2
494,494,['good'],5,Very good,3,2
525,525,"['good', 'product']",1,Not good products,3,1
583,583,['good'],1,Not good,3,2
625,625,"['good', 'product']",1,Not good products,3,1
683,683,['good'],1,Not good,3,2
709,709,"['good', 'product']",4,Good product,3,1
710,710,['good'],4,Good,3,2
711,711,['good'],4,Very good,3,2
713,713,"['good', 'product']",4,Good product,3,1
718,718,['good'],5,Very good,3,2
727,727,"['product', 'good']",5,Product is good,3,1
729,729,['good'],5,VERY GOOD,3,2
732,732,['good'],5,Good,3,2
735,735,['good'],5,Very good,3,2
736,736,['good'],5,Good,3,2
739,739,"['cool', 'good', 'go']",5,"Cooling very good, just go for it.",3,1
740,740,"['good', 'ac']",5,Good AC,3,2
749,749,"['good', 'product']",1,Not good product,3,1
783,783,['good'],3,👍👍👍 good,3,2
784,784,['good'],3,Good,3,2
786,786,['good'],3,Good,3,2
792,792,"['good', 'product']",4,Over all a good product,3,1
794,794,"['good', 'product']",4,Very good product,3,1
806,806,"['good', 'performance']",4,good performance,3,3
814,814,['good'],4,Good,3,2
823,823,['good'],4,Good,3,2
832,832,"['cool', 'good']",4,Cooling it's good,3,1
834,834,"['good', 'product']",4,Good product,3,1
869,869,"['good', 'product']",1,Not good products,3,1
927,927,['good'],1,Not good,3,2
969,969,"['good', 'product']",1,Not good products,3,1
1027,1027,['good'],1,Not good,3,2
1054,1054,"['good', 'product', 'lg', 'good', 'service', 'do', 'flipkart']",1,good product from lg and good service done by flipkart,3,4
1097,1097,['good'],1,No good,3,2
1127,1127,['good'],2,Not good,3,2
1169,1169,"['good', 'product']",1,Not good products,3,1
1227,1227,['good'],1,Not good,3,2
1245,1245,"['good', 'product']",1,Not good product,3,1
1275,1275,"['good', 'buy']",3,its very good 💯 can't to buy,3,4
1276,1276,['good'],3,Good,3,2
1277,1277,['good'],3,Good,3,2
1278,1278,['good'],3,Good,3,2
1284,1284,['good'],3,Good,3,2
1287,1287,['good'],3,Good,3,2
1288,1288,['good'],3,Good,3,2
1290,1290,['good'],3,Good 👍,3,2
1293,1293,['good'],3,Good,3,2
1304,1304,"['good', 'product']",3,Good product,3,1
1308,1308,['good'],3,Good,3,2
1312,1312,['good'],4,Good,3,2
1314,1314,"['good', 'product']",4,Good product,3,1
1316,1316,"['good', 'performance']",4,Over all very good performance,3,3
1317,1317,['good'],4,Good,3,2
1318,1318,['good'],4,It's good,3,2
1321,1321,['good'],4,Good,3,2
1323,1323,['good'],4,Good,3,2
1327,1327,"['good', 'product']",4,good product,3,1
1328,1328,['good'],4,Good,3,2
1329,1329,['good'],4,Good,3,2
1332,1332,['good'],4,Good,3,2
1333,1333,"['good', 'product']",4,Good product,3,1
1334,1334,['good'],4,Good,3,2
1335,1335,['good'],4,Good,3,2
1336,1336,['good'],4,Good,3,2
1338,1338,['good'],4,Good,3,2
1339,1339,['good'],4,Good,3,2
1340,1340,['good'],4,Good,3,2
1360,1360,"['good', 'product']",2,Good product,3,1
1362,1362,['good'],3,Good,3,2
1363,1363,"['ok', 'good']",3,Ok good,3,3
1364,1364,['good'],3,Good,3,2
1366,1366,['good'],3,Good,3,2
1368,1368,"['good', 'product']",3,Good product,3,1
1389,1389,['good'],4,Good,3,2
1390,1390,"['good', 'product']",4,Good product,3,1
1391,1391,['good'],4,Good,3,2
1392,1392,['good'],4,Good n,3,2
1394,1394,"['good', 'product']",4,Good product,3,1
1395,1395,"['good', 'product']",4,Good product,3,1
1404,1404,['good'],4,Good,3,2
1407,1407,['good'],4,Good,3,2
1409,1409,"['good', 'product']",4,Good product 👍👍,3,1
1413,1413,['good'],4,Good 😊,3,2
1417,1417,['good'],4,Good,3,2
1423,1423,"['good', 'design', 'good', 'capacity']",4,Very good design and good capacity,3,2
1425,1425,['good'],4,All Over Good👍😊,3,2
1426,1426,['good'],4,Good,3,2
1428,1428,['good'],4,Good,3,2
1435,1435,['good'],4,Good,3,2
1436,1436,['good'],4,Good,3,2
1438,1438,['good'],4,Good,3,2
1449,1449,['good'],4,Good,3,2
1451,1451,"['good', 'product']",4,Good product,3,1
1456,1456,['good'],4,Good 👍👍,3,2
1458,1458,['good'],5,Good,3,2
1462,1462,['good'],5,Good,3,2
1465,1465,"['good', 'product', 'like']",5,very good product I like it,3,4
1466,1466,['good'],5,Good,3,2
